sim_id,group_name,group_id,num_users,lat,lon,scenario
0,Hsinchu_04,854ba01bfffffff,26,24.638688011198514,120.93899817666848,Suburban
1,Tainan_05,854bb113fffffff,23,22.807100091499457,120.25729605179184,Suburban
2,Taichung_05,854ba05bfffffff,18,24.3174912880266,120.67697087742238,Suburban
3,Kaohsiung_02,854bb103fffffff,104,22.706205388472785,120.36055135957014,Suburban
4,Tainan_04,854bb187fffffff,25,23.090813406970682,120.36158322658319,Suburban
5,Taipei_05,854ba0affffffff,26,24.901767382345042,121.46427468684573,Suburban
6,Hualien_04,854ba3c3fffffff,14,24.002372210272345,121.40765086974349,Suburban
7,Hsinchu_02,854ba08ffffffff,67,24.917727017866866,121.04467968893316,Suburban
8,Taoyuan_06,854ba087fffffff,20,25.056958836717033,121.09760081333162,Suburban
9,Chiayi_06,854ba247fffffff,9,23.41511189861726,120.6220375528796,Suburban
