sim_id,group_name,group_id,num_users,lat,lon,scenario
0,Taipei_01,854ba0a7fffffff,286,25.04116935729994,121.51751796001166,Urban
1,Tainan_01,854bb183fffffff,213,23.049461253847696,120.206164420808,Urban
2,Taichung_01,854ba297fffffff,186,24.177314430399942,120.62444419590929,Urban
3,Kaohsiung_01,854bb10bfffffff,169,22.563918335069328,120.30841487494644,Urban
4,Hsinchu_01,854ba013fffffff,224,24.778302870562467,120.99181214052253,Urban
5,Hualien_01,854ba3c7fffffff,166,24.043084229551717,121.5653500261908,Urban
6,Chiayi_01,854ba257fffffff,171,23.51510195359873,120.51841641286516,Urban
7,Taoyuan_01,854ba0bbfffffff,268,24.95899661372003,121.2020197731384,Urban
8,Taitung_01,854b8453fffffff,226,22.768389059784294,121.08854586979314,Urban
9,Taichung_02,854ba287fffffff,161,24.078354258691096,120.72827832486833,Urban
