time,satellite,elevation_deg,azimuth_deg,distance_km,lat_subpoint,lon_subpoint,height_km,x_ecef_km,y_ecef_km,z_ecef_km
2025-10-19 10:27:27,STARLINK-1309,6.97,54.52,2036.87,33.75,137.56,548.9,-5338.91,-2152.18,3841.5
2025-10-19 10:27:27,STARLINK-1474,1.8,28.18,2036.58,39.92,131.65,378.85,-4976.67,-1430.32,4327.3
2025-10-19 10:27:27,STARLINK-1605,13.88,97.65,1297.97,22.94,132.46,428.89,-5997.1,-1814.15,2652.42
2025-10-19 10:27:27,STARLINK-1667,0.18,63.19,2480.36,32.66,143.52,472.6,-5093.34,-2699.2,3690.53
2025-10-19 10:27:27,STARLINK-1627,8.6,164.36,1813.46,10.14,125.06,509.81,-6686.56,-1109.52,1222.15
2025-10-19 10:27:27,STARLINK-1790,4.43,241.26,2249.15,14.75,103.9,547.21,-6553.74,1363.21,1769.6
2025-10-19 10:27:27,STARLINK-2387,0.33,228.02,2657.99,8.79,104.19,547.15,-6705.55,1358.91,1068.48
2025-10-19 10:27:27,STARLINK-2401,14.11,195.29,1557.04,12.55,117.59,546.98,-6752.9,-230.29,1512.83
2025-10-19 10:27:27,STARLINK-2329,5.26,190.64,2171.95,6.78,117.64,547.19,-6870.91,-239.88,830.11
2025-10-19 10:27:27,STARLINK-2378,22.7,102.28,1191.15,22.54,130.63,547.31,-6174.97,-1654.88,2655.15
2025-10-19 10:27:27,STARLINK-2255,4.81,38.16,2221.18,38.77,135.62,549.95,-5071.8,-1847.22,4329.83
2025-10-19 10:27:27,STARLINK-2647,27.11,24.35,1061.59,31.92,124.77,548.78,-5800.7,-932.98,3658.04
2025-10-19 10:27:27,STARLINK-2717,4.55,110.83,2238.37,17.0,139.32,547.07,-6061.44,-2660.29,2028.61
2025-10-19 10:27:27,STARLINK-2648,11.53,321.67,1712.82,35.46,110.35,549.07,-5614.44,521.01,4011.7
2025-10-19 10:27:27,STARLINK-3247,0.57,36.45,2622.52,41.73,138.5,543.07,-4754.58,-2009.2,4596.7
2025-10-19 10:27:27,STARLINK-3199,3.26,4.08,2346.68,44.59,122.91,543.57,-4885.25,-624.11,4848.68
2025-10-19 10:27:27,STARLINK-3198,2.72,64.96,2396.35,31.8,142.59,541.05,-5237.51,-2667.26,3639.74
2025-10-19 10:27:27,STARLINK-3776,5.94,297.48,2102.42,31.79,102.6,541.06,-5724.96,1328.55,3640.53
2025-10-19 10:27:27,STARLINK-3933,1.32,96.67,2536.42,20.56,143.84,539.91,-5704.4,-3062.0,2430.45
2025-10-19 10:27:27,STARLINK-3757,14.74,29.64,1512.72,35.27,128.32,541.71,-5507.91,-1241.06,3988.59
2025-10-19 10:27:27,STARLINK-3955,2.56,81.02,2411.36,26.27,143.51,540.27,-5479.94,-2901.5,3059.14
2025-10-19 10:27:27,STARLINK-3942,8.18,14.04,1925.66,40.28,125.99,542.56,-5189.46,-949.36,4465.56
2025-10-19 10:27:27,STARLINK-3927,9.6,337.48,1823.19,38.58,113.67,542.35,-5402.68,186.71,4307.54
2025-10-19 10:27:27,STARLINK-4013,0.42,139.52,2628.84,7.12,135.36,539.74,-6459.98,-2316.73,868.26
2025-10-19 10:27:27,STARLINK-3989,1.03,176.51,2561.6,2.98,122.26,540.36,-6862.19,-796.68,374.89
2025-10-19 10:27:27,STARLINK-3995,11.08,111.46,1720.24,18.98,134.86,539.75,-6173.5,-2154.16,2252.45
2025-10-19 10:27:27,STARLINK-3934,1.92,49.91,2478.32,36.98,140.99,542.1,-4990.9,-2369.51,4154.46
2025-10-19 10:27:27,STARLINK-4005,2.98,35.23,2372.73,40.45,135.99,542.7,-4933.36,-1833.68,4480.36
2025-10-19 10:27:27,STARLINK-4258,2.78,337.72,2392.83,43.2,110.64,543.31,-5022.03,440.85,4727.92
2025-10-19 10:27:27,STARLINK-4351,10.17,335.16,1843.92,38.38,112.93,567.58,-5434.65,258.04,4304.32
2025-10-19 10:27:27,STARLINK-4373,13.81,326.63,1588.91,35.33,112.35,553.74,-5641.84,325.41,4002.01
2025-10-19 10:27:27,STARLINK-4358,8.82,337.25,1914.1,39.24,113.15,557.26,-5362.01,233.6,4379.03
2025-10-19 10:27:27,STARLINK-4515,22.03,53.99,1200.97,30.01,129.61,540.74,-5809.84,-1446.99,3456.78
2025-10-19 10:27:27,STARLINK-4496,17.42,331.01,1382.49,34.31,114.55,541.17,-5710.09,108.65,3894.39
2025-10-19 10:27:27,STARLINK-4543,1.95,310.33,2475.56,37.04,101.03,542.13,-5340.5,1395.51,4161.11
2025-10-19 10:27:27,STARLINK-4677,3.89,234.17,2279.43,12.73,105.11,539.68,-6631.3,1233.14,1532.05
2025-10-19 10:27:27,STARLINK-4660,15.47,264.06,1473.14,23.02,108.16,540.12,-6309.18,829.3,2706.26
2025-10-19 10:27:27,STARLINK-4725,10.92,240.64,1729.94,17.26,108.02,539.69,-6544.68,876.01,2056.75
2025-10-19 10:27:27,STARLINK-4670,8.94,177.42,1862.26,9.31,121.66,539.84,-6786.93,-716.35,1129.18
2025-10-19 10:27:27,STARLINK-4728,6.05,128.29,2087.74,13.31,134.98,539.59,-6349.21,-2229.03,1599.49
